Description,Label
"At the library, all patrons study or read quietly, respecting the calm atmosphere.",0
"In the office, colleagues communicate respectfully, fostering a collaborative workspace.",0
"While dining out, the restaurant atmosphere is pleasant with staff being professional.",0
"At the gym, everyone uses the equipment responsibly and respects each other's space.",0
"During a community festival, all participants enjoy the activities peacefully.",0
"In the subway, passengers are considerate, allowing for a smooth and quiet ride.",0
"While shopping, people navigate the store orderly, being courteous to each other.",0
"At the community center, all activities are conducted with care and everyone feels included.",0
"During evening walks, the neighborhood is well-lit and feels safe with friendly faces around.",0
"In the cinema, the audience watches the movie quietly, without causing any disturbances.",0
"At the airport, travelers proceed through checks efficiently, with staff being helpful.",0
"In the public garden, visitors admire the plants and maintain cleanliness of the area.",0
"During school events, parents and teachers interact in a positive manner, focusing on student success.",0
